Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
07/06/2019,"APT 11, THE KILMORE, SANTRY CROSS DUBLIN 11",Dublin 9,Dublin,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2021,"33 WYCKHAM PARK RD, DUNDRUM, DUBLIN 16",Dublin 16,Dublin,"€555,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/06/2012,"5 Kilcoran Place, Youghal, Cork",,Cork,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2019,"4 WILLOW WAY, DUNSHAUGHLIN, CO MEATH",,Meath,"€330,396.47",No,Yes,New Dwelling house /Apartment,
03/03/2015,"323 Abbey Court, Bachelor's Walk, Dublin 1",,Dublin,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/08/2018,"95 CROMCASTLE RD, COOLOCK, DUBLIN 5",Dublin 5,Dublin,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2012,"Apt 33 Hillview, Mount Talbot, Clondalkin",,Dublin,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2018,"19 HILLCREST WAY, LUCAN, CO DUBLIN",,Dublin,"€325,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
11/01/2011,"39 Glen Corrin, Watergrasshill",,Cork,"€255,556.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/09/2018,"3 MARINA VIEW, CASTLEQUIN, CAHERSIVEEN",,Kerry,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/06/2013,"Bracken Lodge, Carrigrohane",,Cork,"€490,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/01/2019,"13 ELMBROOK LAWNS, LUCAN, DUBLIN",,Dublin,"€356,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/07/2020,"9 OLD KILLARNEY VILLAGE, AGHADOE, KILLARNEY",,Kerry,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/03/2012,"The Green, Clonaslee",,Laois,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/10/2020,"6 St. Helen's Court, St. Helen's, Adamstown",,Dublin,"€277,533.03",No,Yes,New Dwelling house /Apartment,
23/12/2013,"11 Old Town Court, Clongeen, Co. Wexford",,Wexford,"€45,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/01/2016,"6 THE LAWN, CASTLETOWNSEND, SKIBBEREEN",,Cork,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/07/2021,"LOW STREET, THOMASTOWN, COUNTY KILKENNY",,Kilkenny,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2011,"Apt 6 Auburn Park, Auburn Avenue, Castleknock",,Dublin,"€145,619.18",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/09/2016,"9 Knightswood, Matthews Lane, Drogheda",,Meath,"€193,832.59",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/08/2011,"2 Ashleigh Gardens, Ovens",,Cork,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/03/2018,"PIGGOTT STREET, LOUGHREA, CO GALWAY",,Galway,"€178,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/05/2019,"12 LATTHILLS, CAVAN, CAVAN",,Cavan,"€116,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/05/2016,"39 BELFIELD PARK, STILLORGAN RD, STILLORGAN",,Dublin,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2018,"FOXBOROUGH HOUSE, COACHFORD, CORK",,Cork,"€505,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/01/2016,"87 CASTLEDAWSON, MAYNOOTH, KILDARE",,Kildare,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2020,"99 RIVERSIDE, PORTARLINGTON, OFFALY",,Offaly,"€58,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2015,"1 MAYESTON RISE, MAYESTON HALL",Dublin 11,Dublin,"€230,837.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/08/2011,"TRIENERAGH, DUAGH, LISTOWEL",,Kerry,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2016,"17 Church View, Mullinmore Street, Crossmolina",,Mayo,"€43,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/07/2020,"GORTROE, KILLARNEY, KERRY",,Kerry,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/06/2018,"63 BRABAZON LINKS, GOLF LINKS ROAD, BETTYSTOWN",,Meath,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2016,"8 WHITE CREST, PIER RD ENNISCRONE, SLIGO",,Sligo,"€72,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/10/2014,"10 Howley's Quay Estate, Limerick",,Limerick,"€61,363.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2021,"1 HAIG GARDENS, BOREENMANNA ROAD, CO  CORK",,Tipperary,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/11/2017,"11 LIFFEY VALLEY AVE, LIFFEY VALLEY PARK, LUCAN",,Dublin,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/09/2018,"12 STATION GROVE, STATION RD, PORTARLINGTON",,Laois,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/03/2014,"8 Foalies Bridge, Belturbet",,Cavan,"€62,150.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
02/12/2011,"27 Priory Hall, Spawell Road, Wexford",,Wexford,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2015,"38 CARTUR MOR, CLYBAUN RD, GALWAY",,Galway,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/01/2016,"30 GLENCULLEN, DUNTAHANE RD, FERMOY",,Cork,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2019,"5 An Fuarán, oranmore, Galway",,Galway,"€325,010.00",No,Yes,New Dwelling house /Apartment,
31/08/2011,"Killowen, Kenmare",,Kerry,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2020,"11 MAPLE CLOSE, JOHNSTOWN, NAVAN",,Meath,"€196,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/10/2015,"80 ASHLEIGH GROVE, BALLYMONEEN RD, GALWAY",,Galway,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/05/2014,"123 RATHGAR RD, DUBLIN 6, DUBLIN",Dublin 6,Dublin,"€415,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2020,"3 CLOS DEALGA, SALTOWN, DUNDALK",,Louth,"€180,833.34",No,No,Second-Hand Dwelling house /Apartment,
17/02/2017,"TULLYNASKEAGH WEST, CARRICKMACROSS, CO MONAGHAN",,Monaghan,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2010,"Tattygare, Castleblayney",,Monaghan,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/10/2016,"LUS MOR, WHITEROCK, WEXFORD",,Wexford,"€66,371.68",No,No,Second-Hand Dwelling house /Apartment,
23/06/2015,"36 MULGRAVE RD, CORK, CORK",,Cork,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/01/2017,"35 SLI NA SRUTHAN, CLYBAUN RD, SRUTHAN",,Galway,"€256,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/11/2019,"73 THE VILLAGE BALKYLYNAN, LAOIS",,Laois,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/07/2010,"Shanakill, Ballymacoda, Co Cork",,Cork,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/10/2015,"131 ST COLEMANS RD, FARRANREE, CORK",,Cork,"€34,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/08/2016,"23 MERRION VILLAGE, MERRION RD, BALLSBRIDGE DUBLIN 4",Dublin 4,Dublin,"€470,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2015,"77 CARMODY WAY, FAIRGREEN, PORTLAOISE",,Laois,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/11/2017,"24 BROOKLAWNS, POLLERTON, CARLOW",,Carlow,"€35,203.02",No,No,Second-Hand Dwelling house /Apartment,
30/08/2012,"31 Moorehall Close, Ardee",,Louth,"€158,590.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/04/2020,"3 ARDAUN, MONASTERADEN, SLIGO",,Sligo,"€68,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2012,"43 Westwood, Golflinks Road, Ennis",,Clare,"€137,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
15/12/2016,"KINNAGIN, CASTLEBLAYNEY, MONAGHAN",,Monaghan,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/05/2015,"KENTSTOWN, NAVAN, MEATH",,Meath,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/07/2019,"308 ATKINS HALL, LEE RD, CORK",,Cork,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/10/2014,"26 WOODHAVEN, ENNIS, CO CLARE",,Clare,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/10/2015,"68 The Drumlins, Virginia, Co. Cavan",,Cavan,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2020,"70 Millquarter, Knockmullen, Gorey",,Wexford,"€311,400.00",No,Yes,New Dwelling house /Apartment,
30/09/2014,"5 Caheranne Village, Ballyvelly, Tralee",,Kerry,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2017,"5 The Lawn, St. Marnock's Bay, Station Road",,Dublin,"€280,010.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2016,"DRUMADOOEY, BURNFOOT, CO DONEGAL",,Donegal,"€157,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/04/2020,"FINN SEOIGE, MOORETOWN, DELVIN",,Westmeath,"€163,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2017,"10 The Place, hazelbrook Square, Churchtown",,Dublin,"€427,312.77",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
16/01/2015,"38 LOHUNDA DR, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/06/2019,"60 OLD MILLRACE, MONASTEREVIN, KILDARE",,Kildare,"€189,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
12/07/2021,"54 SHANOWEN PARK, SANTRY, DUBLIN 9",Dublin 9,Dublin,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2020,"31 The Avenue, Semple Woods, Donabate",,Dublin,"€334,802.00",No,Yes,New Dwelling house /Apartment,
11/06/2021,"136 GLENOAKS CLOSE, CLONMEL, TIPPERARY",,Tipperary,"€189,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2020,"11 Mount William, Williamstown, Waterford",,Waterford,"€189,462.55",Yes,Yes,New Dwelling house /Apartment,
06/01/2021,"113 ARDLEA RD, ARTANE, DUBLIN 5",Dublin 5,Dublin,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"16 WINDMILL PARK, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,"€206,851.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2014,"52 THE ORCHARD, OLDTOWN MILL, CELBRIDGE",,Kildare,"€267,600.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2010,"34 Woodlands, Kerry Pike",,Cork,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/10/2021,"66 OLCOVAR, SHANKILL, OLD BRAY RD DUBLIN 18",Dublin 18,Dublin,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/07/2019,"75 ST AGNES RD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/01/2014,"Apt 20 Block B, Farnham Court, Farnham Road",,Cavan,"€20,507.36",No,No,Second-Hand Dwelling house /Apartment,
13/08/2019,"5 Ardilaun, Raheny, Dublin 5",Dublin 5,Dublin,"€396,475.77",No,Yes,New Dwelling house /Apartment,
10/11/2017,"77 RADHARC AN MHUILINN, RATHWIRE, KILLUCAN",,Westmeath,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/08/2015,"11 CHESTNUT HILL, BLESSINGTON RD, NAAS",,Kildare,"€632,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/06/2011,"19 ARD MOR CLOSE, TALLAGHT",,Dublin,"€95,578.11",Yes,No,Second-Hand Dwelling house /Apartment,
01/06/2017,"D AND J MALIN TOWN, MALIN, CO. DONEGAL",,Donegal,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/04/2016,"34 Longview Avenue, Miller's Glen, Swords",,Dublin,"€275,429.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/06/2017,"9 MOY GLAS LAWN, GRIFFEEN VALLEY, LUCAN",,Dublin,"€304,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/06/2013,"3 Exham Place, Margaret Street, Cork",,Cork,"€154,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/06/2017,"74 Landen Park, Oldtown Demesne, Naas",,Kildare,"€372,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
11/07/2019,"54 WINDMILL PARK, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/04/2013,"117 Leighlin Road, Crumlin",,Dublin,"€157,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/03/2016,"CHAPEL HILL, PASSAGE WEST, CORK",,Cork,"€51,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2015,"APT 1C, 69 HAROLDS CROSS RD, DUBLIN",Dublin 15,Dublin,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2021,"17 THE BARRINGTON, LANSDOWNE PLACE, BALLSBRIDGE",Dublin 4,Dublin,"€859,030.84",No,Yes,New Dwelling house /Apartment,
23/02/2016,"6 RAVENSWOOD RD, RAVENSWOOD, CASTAHEANY DUBLIN 15",Dublin 15,Dublin,"€272,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/06/2017,"5 CASTLEPARK VILLAGE, KINSALE, CO CORK",,Cork,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/11/2016,"20 HIGHLANDS, PASSAGE WEST, CORK",,Cork,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/06/2019,"16 CLARENDON COURT, WATERFORD CITY, WATERFORD",,Waterford,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/03/2016,"24 THE HOLLOWS, NEWCASTLE RD, LUCAN",,Dublin,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/10/2020,"87 Medebawn, Avenue Road, Dundalk",,Louth,"€255,175.00",No,Yes,New Dwelling house /Apartment,
14/06/2016,"24 Chelmsford Manor, Newtown Road, Celbridge",,Kildare,"€365,638.77",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/12/2017,"1 CURRAHEEN, KNOCKLONG, CO LIMERICK",,Limerick,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2015,"12 LAUREL COURT, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,"€293,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/10/2018,"67 THE SQUARE, HAZELHATCH PARK, CELBRIDGE",,Kildare,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/11/2015,"MULLANMORE, GLEN ROAD, GLENTIES",,Donegal,"€115,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
06/12/2016,"20 Glebe Hill, Brackenstown Road, Swords",,Dublin,"€370,040.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
22/12/2020,"51 CILL MHUIRE, KENMARE, KERRY",,Kerry,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/09/2013,"Apt. 44  Carton Square, Dillon's Row, Maynooth",,Kildare,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/10/2017,"9 FENIT ATLANTIC HOMES, FENIT, TRALEE",,Kerry,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/03/2018,"DUN AN ARD TROLL, BANARD, GNEEVEGUILLA",,Kerry,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2018,"46 ROS ARD, CAPPAGH RD, GALWAY",,Galway,"€267,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/12/2015,"80 CARROWMORE MEADOWS, KNOCK, MAYO",,Mayo,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/11/2012,"1  Church Road, Bantry",,Cork,"€42,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2016,"121 INCHICORE RD, DUBLIN 8, DUBLIN",Dublin 8,Dublin,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/03/2016,"2 GOLDSMITH DRIVE, ELPHIN, CO ROSCOMMON",,Roscommon,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/03/2017,"132 LEE DR, BALLINORIG RATHASS, TRALEE",,Kerry,"€70,485.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
21/12/2018,"41A OAKVIEW AVE, HARTSTOWN, DUBLIN 15",Dublin 15,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2011,"Attirory, Creagh, Ballinasloe",,Roscommon,"€208,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
06/10/2017,"HILL HOUSE, KNOCKLONG, LIMERICK",,Limerick,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/10/2017,"84 SPRINGMOUNT, BALLINCUBBY, KINSALE",,Cork,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/01/2020,"64 Cnoc Neil, Grange End, Dunshaughlin",,Meath,"€392,070.00",No,Yes,New Dwelling house /Apartment,
09/10/2013,"April Cottage, Cloghan, Westport",,Mayo,"€281,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2019,"CURRAGHREVAGH, CREGGS, CO GALWAY",,Galway,"€12,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/05/2019,"APT 18  HAVENWOOD RETIREMENT VILLAG, BISHOPSCOURT, BALLYGUNNER",,Waterford,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2013,"10 Victoria Road, Rathgar",Dublin 6,Dublin,"€825,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/09/2019,"FRINGERSTOWN, CASTLETOWN K P, NAVAN",,Meath,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2017,"16 ODONOGHUE AVE, JANESBORO, LIMERICK",,Limerick,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/05/2017,"AN CARRAIG, STRANAGARVANAGH, BALLINAGLERA",,Leitrim,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/07/2018,"62 WOODLANDS, DUNLEER, LOUTH",,Louth,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2016,"140 AN CREAGAN, BARNA, GALWAY",,Galway,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/11/2013,"61 Bargy Road, East Wall",Dublin 3,Dublin,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2020,"APT 62, GREENVILLE PLACE, BLACKPITS",Dublin 8,Dublin,"€247,500.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2015,"18 WARREN CRESCENT, KEVINSFORT, STRANDHILL RD",,Sligo,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/11/2017,"33 DUNDRUM GATE, BALLINTEER RD, DUBLIN 16",Dublin 16,Dublin,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/03/2013,"17 portmore, spanish arch, galway city",,Galway,"€163,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/05/2019,"22 CLAUIN NA SPIDDEOGA, CLOGHAN, OFFALY",,Offaly,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2020,"27 The Green, Silver Banks, Stamullen",,Meath,"€303,964.76",No,Yes,New Dwelling house /Apartment,
24/05/2013,"No 9 Bunholvill, Bundoran, Co. Donegal",,Donegal,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/07/2015,"APT 4 BURRIN ARCADE, BURRIN ST, CARLOW",,Carlow,"€17,083.33",No,No,Second-Hand Dwelling house /Apartment,
16/11/2011,"No. 17 Distillery Court, Drogheda Row, Monasterevin",,Kildare,"€100,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/12/2018,"14 ASHTOWN GROVE, NAVAN RD, DUBLIN 7",Dublin 7,Dublin,"€590,000.00",No,No,Second-Hand Dwelling house /Apartment,
