Month,Quarter,Year,Address,PostalCode,County,Price,DescriptionofProperty,PropertySizeDescription
Jan,1,2010,"68 Churchwell Road, Belmayne, Balgriffin",,Dublin,235000.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Jan,1,2010,"13 PARKLANDS CLOSE, MAYNOOTH",,Kildare,325000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"9 valley park drive, finglas, dublin 11",,Dublin,76666.66,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"Mountblakeney, Kilmallock",,Limerick,125000.0,Second-Hand Dwelling house /Apartment,
Jan,1,2010,"6 Riverchapel Way, Riverchapel Wood, Courtown",,Wexford,129955.94,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Feb,1,2010,"4 Carlton Park, Redcastle",,Donegal,147158.59,New Dwelling house /Apartment,greater than or equal to 125 sq metres
Feb,1,2010,"29 Castleview Avenue, Swords",,Dublin,215000.0,Second-Hand Dwelling house /Apartment,
Feb,1,2010,"38 Thorndale Close, Kingscourt",,Cavan,120000.0,Second-Hand Dwelling house /Apartment,
Feb,1,2010,"17 IONA DRIVE, N.C.Rd",,Limerick,224000.0,Second-Hand Dwelling house /Apartment,
Feb,1,2010,"14 Williamsons Place, Dundalk",,Louth,75000.0,Second-Hand Dwelling house /Apartment,
Feb,1,2010,"No. 1 The Mews, ' Ayrefield', Granges Road",,Kilkenny,308500.0,Second-Hand Dwelling house /Apartment,
Feb,1,2010,"Apt 34 Block Q An Clarin, Athenry",,Galway,145000.0,New Dwelling house /Apartment,less than 38 sq metres
Feb,1,2010,"The Forge, Burtown Cross, Athy",,Kildare,100000.0,Second-Hand Dwelling house /Apartment,
Feb,1,2010,"4 Glen Corrin, Watergrasshill",,Cork,259912.0,New Dwelling house /Apartment,greater than or equal to 125 sq metres
Feb,1,2010,"2 Willow Glen, Heron Woods, Carrigaline",,Cork,193000.0,Second-Hand Dwelling house /Apartment,
Feb,1,2010,"Apartment 40  Block B, Corofin House  Clare Village, Clare Hall",,Dublin,147006.75,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Feb,1,2010,"10 Roskeen, Annacotty, Limerick",,Limerick,375000.0,Second-Hand Dwelling house /Apartment,
Feb,1,2010,"Stradbally Cottage, Castleconnell",,Limerick,230000.0,Second-Hand Dwelling house /Apartment,
Feb,1,2010,"16 Hunters Green, Creagh, Gorey",,Wexford,155000.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Feb,1,2010,"11 Beech Lawns, Johnswell Road, Kilkenny",,Kilkenny,169000.0,Second-Hand Dwelling house /Apartment,
Feb,1,2010,"Meenoline North, Templeglantine, Co. Limerick",,Limerick,48000.0,Second-Hand Dwelling house /Apartment,
Feb,1,2010,"15 Wheatfields, Ballingarrane, Clonmel",,Tipperary,155000.0,Second-Hand Dwelling house /Apartment,
Feb,1,2010,"19 Springfield Road, Templeogue, Dublin 6w",,Dublin,312500.0,Second-Hand Dwelling house /Apartment,
Feb,1,2010,"17 Cluanin Na Ri, Clondulane, Fermoy",,Cork,151240.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Feb,1,2010,"11 Bellevue heights, New Ross",,Wexford,162000.0,Second-Hand Dwelling house /Apartment,
Feb,1,2010,"34 Woodlands, Kerry Pike",,Cork,345000.0,Second-Hand Dwelling house /Apartment,
Mar,1,2010,"4  Oakfield, Charleville, County Cork.",,Cork,175206.61,New Dwelling house /Apartment,greater than or equal to 125 sq metres
Mar,1,2010,"30 cedar ave, swords, county dublin",,Dublin,262500.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Mar,1,2010,"Cloonraine, Milltown, Tuam",,Galway,220000.0,Second-Hand Dwelling house /Apartment,
Mar,1,2010,"14 Martin Savage Terrace, Sligo",,Sligo,71250.0,Second-Hand Dwelling house /Apartment,
Mar,1,2010,"No 9 The Close, Hunters Run, Clonee",,Dublin,275000.0,Second-Hand Dwelling house /Apartment,
Mar,1,2010,"142  Elm Mount Road, Beaumont",,Dublin,380000.0,Second-Hand Dwelling house /Apartment,
Mar,1,2010,"Derrylaconnell, Doochery",,Donegal,88125.0,Second-Hand Dwelling house /Apartment,
Mar,1,2010,"11 Curragh Hall Road, Tyrrellstown",Dublin 15,Dublin,170000.0,Second-Hand Dwelling house /Apartment,
Mar,1,2010,"28 Mount Wolseley, Tullow",,Carlow,132158.6,New Dwelling house /Apartment,greater than or equal to 125 sq metres
Mar,1,2010,"Fyanstown, Kells",,Meath,235000.0,Second-Hand Dwelling house /Apartment,
Mar,1,2010,"Otterbrook, Kilquade",,Wicklow,825000.0,Second-Hand Dwelling house /Apartment,
Mar,1,2010,"6 Iveagh Gardens, Crumlin",Dublin 12,Dublin,390000.0,Second-Hand Dwelling house /Apartment,
Mar,1,2010,"Apartment No. 48, Strandfield Manor, Spawell Road",,Wexford,122727.0,New Dwelling house /Apartment,less than 38 sq metres
Mar,1,2010,"Apartment No. 47, Strandfield Manor, Spawell Road",,Wexford,122727.0,New Dwelling house /Apartment,less than 38 sq metres
Mar,1,2010,"114 Foxwood, Swords",,Dublin,235000.0,Second-Hand Dwelling house /Apartment,
Mar,1,2010,"67 Foxfield, Dooradoyle",,Limerick,215000.0,Second-Hand Dwelling house /Apartment,
Mar,1,2010,"Cloughan, Mullingar",,Westmeath,235000.0,Second-Hand Dwelling house /Apartment,
Mar,1,2010,"71 Clybaun Heights, Clybaun Road, Knocknacarra",,Galway,485000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"15 Radharc na Mara, Ballyvergan, Youghal",,Cork,285385.46,New Dwelling house /Apartment,greater than or equal to 125 sq metres
Apr,2,2010,"3 Foxborough Grove, Lucan",,Dublin,215000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"14 Wolfe Tone Way, Clonakilty",,Cork,84000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"Curragh, Castlebar",,Mayo,150000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"HILLSIDE, EMYVALE",,Monaghan,116950.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"5 Palmers Park, Palmerstown, Dublin 20",,Dublin,253000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"Apartment 7, 41 North Great George's Street, Dublin 1",,Dublin,225000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"26 Vernon Gardens, Clontarf, Dublin 3",,Dublin,365000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"17 Mount Albion, Churchtown",,Dublin,300000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"34 Seana Mhuileann, Watercourse Road",,Cork,266520.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Apr,2,2010,"42 Granary Court, Lady's Well",,Cork,266520.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Apr,2,2010,"163 Briar Walk, Portmarnock, Co. Dublin",,Dublin,505000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"No. 36 The Cedar, Parkview, Stepaside",,Dublin,340000.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Apr,2,2010,"60 Seafield Court, Killiney",,Dublin,360000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"1 holywell grove, kilcoole",,Wicklow,330000.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Apr,2,2010,"1 Ashewood Glen, Ashbourne",,Meath,270000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"222 Laraghcon, Lucan, Co. Dublin",,Dublin,418000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"222 Laraghcon, Lucan Village, Co. Dublin",,Dublin,418000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"11 Seapoint Court, Bray",,Wicklow,290000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"4B Keadeen Avenue, Greenpark, Walkinstown",Dublin 12,Dublin,350000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"44 Merrion Hall, Mount Merrion Avenue, Blackrock",,Dublin,321585.9,New Dwelling house /Apartment,less than 38 sq metres
Apr,2,2010,"9 CARRICKMINES CHASE, CARRICKMINES WOOD, CARRICKMONES",Dublin 18,Dublin,585000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"5 Magnolia Terrace, St Lukes, Cork",,Cork,189000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"48 Cannon Hall, Church Street East, Dublin 3",Dublin 3,Dublin,255000.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Apr,2,2010,"6 Ardrew Fields, Dun Brinn, Athy",,Kildare,122500.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"34A Church Street, Skerries",,Dublin,125000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"'Foxbury', Corramacorra, Murrtintown",,Wexford,220000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"63 The Rise  Meadowvale, Arklow, Arklow",,Wicklow,190000.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Apr,2,2010,"Rose Cottage, Camden Road, Crosshaven",,Cork,50000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"37 Adamstown Way, Adamstown Square, Lucan",,Dublin,193832.6,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Apr,2,2010,"9 Carbery Park, Athy, Co Kildare",,Kildare,55000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"11 FORTWELL RD, LETTERKENNY",,Donegal,170000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"Apt 77  The Kilns, Station Road, Portmarnock",,Dublin,295000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"Glenastar, Ardagh, Co. Limerick",,Limerick,6829.38,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"16Woodstown Parade, Knocklyon, Dublin 16",,Dublin,365000.0,Second-Hand Dwelling house /Apartment,
Apr,2,2010,"23 The Grove, Bettyglen, Raheny",,Dublin,367000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"134 longboat quay north, sir john rogersons quay",Dublin 2,Dublin,225000.0,New Dwelling house /Apartment,less than 38 sq metres
May,2,2010,"15 spence, villas, glengear",,Dublin,1600000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"No 8 Ros Mhuire, Crobally Upper, Tramore",,Waterford,219000.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
May,2,2010,"Cleen, Knockvicar, Boyle",,Roscommon,60000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"428 Longboat Quay South, Sir John Rogerson's Quay, Dublin 2",,Dublin,225000.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
May,2,2010,"2 Lyon Terrace, Tramore",,Waterford,195000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"Station Road, Ballina",,Mayo,191255.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"50 Oliver Plunkett Terrace, Clonmel, Co. Tipperary.",,Tipperary,125000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"21 Harmony Avenue, Donnybrook",Dublin 4,Dublin,305000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"15 GOLF VIEW, CAHIRDOWN, LISTOWEL",,Kerry,110000.0,New Dwelling house /Apartment,greater than or equal to 125 sq metres
May,2,2010,"5 Holywell Grove, Sea Road, Kilcoole",,Wicklow,233481.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
May,2,2010,"St. Anne's, Shannon Hill, Enniscorthy",,Wexford,85000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"3 The Rise, Friars Hill, Wicklow",,Wicklow,330000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"39 Whitethorn Park, Gortlee, Letterkenny",,Donegal,159000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"24 Stamanaran, Old Golf links Road, Blackrock Dundalk",,Louth,136563.87,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
May,2,2010,"12 Innishmore Drive, Ballincollig",,Cork,155000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"Mortarstown, Carlow",,Carlow,545000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"'Holly Cottage', Magheramore, Glenade",,Leitrim,53500.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"2 Glenart House, Clonfadda Wood, Blackrock",,Galway,295000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"Coldwood, Craughwell",,Galway,310000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"21 Cedar Close, Ridgewood, Swords",,Dublin,325991.18,New Dwelling house /Apartment,greater than or equal to 125 sq metres
May,2,2010,"18  Frankfort Park, Dundrum",,Dublin,813000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"Apartment 814, Vantage East  Central Park, Leopardstown",,Dublin,246558.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
May,2,2010,"Ballygarrett, Camp, Tralee",,Kerry,425000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"64 Brooklawns, Strandville Avenue, Dublin 3",Dublin 3,Dublin,200000.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"7 Drumglen Drive, Swellan Lower, Cavan",,Cavan,185975.0,New Dwelling house /Apartment,greater than or equal to 125 sq metres
May,2,2010,"10 Mariners Court, Mauritiustown, Rosslare",,Wexford,167500.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"26 Annaly Road, Cabra",,Dublin,297500.0,Second-Hand Dwelling house /Apartment,
May,2,2010,"98 Glenmore Wood, Dublin Road, Mullingar",,Westmeath,202599.0,New Dwelling house /Apartment,greater than or equal to 125 sq metres
May,2,2010,"5 Chapel Crescent, Riverston Abbey, Navan Road",Dublin 7,Dublin,368000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"Ballydaly Lower, Millstreet",,Cork,190000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"Unit 27  Heathfield Park, Heathfield  Cappagh  Finglas",Dublin 11,Dublin,224625.55,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Jun,2,2010,"9 Togher Crescent, Urlingford",,Kilkenny,155000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"45  Millbridge Way, Naas",,Kildare,250000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"No 1 Rathronan, Athea",,Limerick,192872.0,New Dwelling house /Apartment,greater than or equal to 125 sq metres
Jun,2,2010,"12 St Donagh's Crescent, Donaghmede",Dublin 13,Dublin,200000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"2 Finsbury Green, Churchtown, Dublin 14",Dublin 14,Dublin,309000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"Clonad, Clonbullogue",,Offaly,90000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"Tattygare, Castleblayney",,Monaghan,150000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"Balruntagh, Bohermeen, Navan",,Meath,285000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"The Grange, Lisnagry",,Limerick,300000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"7 Ashfield Avenue, Ranelagh",,Dublin,517000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"7 Bruach na Mara, Carna",,Galway,176211.45,New Dwelling house /Apartment,greater than or equal to 125 sq metres
Jun,2,2010,"4 Grange Road, Grange Manor, Ovens",,Cork,541850.0,New Dwelling house /Apartment,greater than or equal to 125 sq metres
Jun,2,2010,"Cappakeel, Emo, Portlaoise",,Laois,80000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"26 LILDS COURT, ONGAR GREEN, DUBLIN",Dublin 15,Dublin,160000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"kilkillogue, mullaghmore",,Sligo,265000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"15 Corbally Avenue, Westbrook Lawns, Tallaght  Dublin 24",,Dublin,267000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"Number 62, The Hawthorn, Woodstream  Coolaney",,Sligo,101321.58,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Jun,2,2010,"29 Riddlesford, southern cross road, bray",,Wicklow,445000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"19 Ardee Street, Bray",,Wicklow,82000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"4 Glasheen, Kildavin, Bunclody",,Wexford,147000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"7 Lismore, Earlsfort, Blackrock",,Louth,175000.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Jun,2,2010,"Doolargy Glebe, Newbridge, Dowra",,Leitrim,143000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"9 Barretstown Meadows, Newbridge",,Kildare,294100.0,New Dwelling house /Apartment,greater than or equal to 125 sq metres
Jun,2,2010,"5 Dun Emer Road, Lusk",,Dublin,291000.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"56 Ardan Na Mara, Seafield, Youghal",,Cork,162500.0,Second-Hand Dwelling house /Apartment,
Jun,2,2010,"28 Woodstown Vale, Knocklyon, Dublin 16",,Dublin,335000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"Scarteen Lower, Newmarket",,Cork,210000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"Belmont, The Hill, Monkstown",,Dublin,2424000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"13 Ashton Close, Knocklyon, Dublin 16",,Dublin,398000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"19 Hillview Crescent, Cahir",,Tipperary,160000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"50 Dodsboro Road, Adamstown",,Dublin,162995.0,New Dwelling house /Apartment,less than 38 sq metres
Jul,3,2010,"95 The Mizen, Hartys Quay, Rochestown",,Cork,285000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"14 Holywell Way, Sea Road, Kilcoole",,Wicklow,321585.9,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Jul,3,2010,"House at Bellinter, Navan",,Meath,245000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"12 ELM COURT, PARK ROAD, KILLARNEY",,Kerry,175000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"86 Cherrywood Park, Clondalkin",,Dublin,190000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"6  Delbrook Manor, Dundrum, Dublin 14",Dublin 14,Dublin,454000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"29 albany road, ranelagh",Dublin 6,Dublin,900000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"12 Woodhaven, Castletroy",,Limerick,125000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"Farranacliffe, Tipperary",,Tipperary,125000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"Kilfantan, Granard",,Longford,158000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"Castlematrix, Rathkeale",,Limerick,325991.19,New Dwelling house /Apartment,greater than or equal to 125 sq metres
Jul,3,2010,"1 An Clairin, Killygordon",,Donegal,110000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"7 Nelson Street, Dublin 7",Dublin 7,Dublin,390000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"62 The Courtyard, Clonsilla",,Dublin,213000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"41 Pacelli Road, Naas",,Kildare,160000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"6 Mulberry Close, Ballinode",,Sligo,205000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"Killeenmore, Craughwell",,Galway,295000.0,New Dwelling house /Apartment,greater than or equal to 125 sq metres
Jul,3,2010,"Apartment 31, Ard Bhearu, Cois Bhearu  Athy",,Kildare,107825.0,New Dwelling house /Apartment,less than 38 sq metres
Jul,3,2010,"116 clonmagedden fort, navan",,Meath,185000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"83 Trimbleston, Goatstown Road",,Dublin,400000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"17 Bishop Murphy Park, Parteen",,Clare,150000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"22 Castlelawn Heights, Headford Road, Galway",,Galway,197500.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"Rosewood, Castletaylor North, Kilcolgan",,Galway,264462.8,New Dwelling house /Apartment,greater than or equal to 125 sq metres
Jul,3,2010,"5 corbally rise, west brook glen, tallaght",,Dublin,195000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"Apartment 30, Cloncurry House  Spencer Dock, North Wall Quay  Dublin 1",,Dublin,200000.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Jul,3,2010,"26 The Cotswolds, Midleton",,Cork,219148.75,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"75 RIVERSIDE DRIVE, QUAY ROAD, BALLINA",,Mayo,135000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"81 WELLPARK GROVE, WELLPARK",,Galway,195000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"97 castlegate way, adamstown, lucan",,Dublin,210265.0,New Dwelling house /Apartment,less than 38 sq metres
Jul,3,2010,"Kilpatrick, Ballinea, Mullingar",,Westmeath,820000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"36 Highfield Green, Swords",,Dublin,475000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"50  Beaverbrook, Beaverstown, Donabate",,Dublin,720000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"25 FOXBOROUGH WALK, LUCAN, CO.DUBLIN",,Dublin,210000.0,Second-Hand Dwelling house /Apartment,
Jul,3,2010,"54 Talbot Court, Trim",,Meath,238500.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"Inishfail House, Fahan",,Donegal,425000.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"22 Somerville Avenue, Crumlin, Dublin 12",Dublin 12,Dublin,290000.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"82 St. Helen's Village, Kilrane, Rosslare Harbour",,Wexford,175000.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"19 Inis Chlair, Kildysart Road, Ennis",,Clare,75000.0,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
Aug,3,2010,"Lickbarrahane, Cahermore, Bantry",,Cork,120000.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"39 Dunfierth Park, Johnstownbridge",,Kildare,195000.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"51 Tegan Court, Muclagh, Tullamore",,Offaly,308370.04,New Dwelling house /Apartment,greater than or equal to 125 sq metres
Aug,3,2010,"12 st mochtas lawn, coolmine lodge, clonsilla",Dublin 15,Dublin,352659.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"3 Kincora Terrace, Dundalk",,Louth,140000.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"39 Carraiglea, Killenard, Portarlington",,Laois,445200.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"30 Garbally Oaks, Ballinasloe, Co Galway",,Galway,167500.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"Crossreagh, Virginia",,Cavan,232500.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"Slievecahill, Ballygrennan, Listowel",,Kerry,80000.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"Lysterfield, Curraghboy, Athlone",,Roscommon,40000.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"Boleybeg East, Barna",,Galway,330000.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"18 Broughton Street, Dundalk",,Louth,80000.0,Second-Hand Dwelling house /Apartment,
Aug,3,2010,"26 Castleland Court, Balbriggan, Co. Dublin",,Dublin,160000.0,Second-Hand Dwelling house /Apartment,
